Date,Adj Close
2023-11-10,131.06
2023-11-13,132.03
2023-11-14,132.99
2023-11-15,133.46
2023-11-16,131.34
2023-11-17,133.84
2023-11-20,133.76
2023-11-21,133.45
2023-11-22,133.72
2023-11-24,134.24
2023-11-27,133.74
2023-11-28,134.81
2023-11-29,133.33
2023-11-30,133.04
2023-12-01,134.16
2023-12-04,134.22
2023-12-05,132.35
2023-12-06,132.05
2023-12-07,131.95
2023-12-08,133.7
2023-12-11,133.73
2023-12-12,132.02
2023-12-13,133.98
2023-12-14,138.9
2023-12-15,138.37
2023-12-18,138.67
2023-12-19,140.49
2023-12-20,139.2
2023-12-21,139.63
2023-12-22,139.94
2023-12-26,141.2
2023-12-27,140.74
2023-12-28,138.76
2023-12-29,138.19
2024-01-02,138.49
2024-01-03,141.13
2024-01-04,139.58
2024-01-05,139.34
2024-01-08,138.51
2024-01-09,134.98
2024-01-10,133.87
2024-01-11,134.6
2024-01-12,136.44
2024-01-16,133.12
2024-01-17,132.59
2024-01-18,131.39
2024-01-19,131.78
2024-01-22,132.01
2024-01-23,131.64
2024-01-24,134.26
2024-01-25,137.64
2024-01-26,138.17
2024-01-29,138.12
2024-01-30,139.08
2024-01-31,136.59
2024-02-01,137.01
2024-02-02,141.04
2024-02-05,141.13
2024-02-06,141.15
2024-02-07,140.94
2024-02-08,142.73
2024-02-09,139.93
2024-02-12,140.9
2024-02-13,139.52
2024-02-14,139.9
2024-02-15,144.66
2024-02-16,144.82
2024-02-20,144.23
2024-02-21,145.58
2024-02-22,145.57
2024-02-23,144.85
2024-02-26,144.65
2024-02-27,142.51
2024-02-28,142.68
2024-02-29,142.37
2024-03-01,143.12
2024-03-04,139.44
2024-03-05,140.1
2024-03-06,138.92
2024-03-07,139.9
2024-03-08,140.37
2024-03-11,142.36
2024-03-12,142.26
2024-03-13,144.13
2024-03-14,145.82
2024-03-15,145.68
2024-03-18,145.55
2024-03-19,146.69
2024-03-20,144.75
2024-03-21,145.04
2024-03-22,144.85
2024-03-25,146.54
2024-03-26,145.42
2024-03-27,146.43
2024-03-28,147.73
2024-04-01,148.99
2024-04-02,149.64
2024-04-03,150.26
2024-04-04,150.5
2024-04-05,151.35
2024-04-08,151.04
2024-04-09,151.72
2024-04-10,152.35
2024-04-11,151.62
2024-04-12,148.88
2024-04-15,147.59
2024-04-16,146.37
2024-04-17,146.48
2024-04-18,147.57
2024-04-19,149.85
2024-04-22,151.65
2024-04-23,152.52
2024-04-24,153.19
2024-04-25,154.8
2024-04-26,155.37
2024-04-29,155.78
2024-04-30,151.04
2024-05-01,149.5
2024-05-02,150.53
2024-05-03,150.08
2024-05-06,152.0
2024-05-07,152.35
2024-05-08,152.23
2024-05-09,154.96
2024-05-10,155.3
2024-05-13,154.09
2024-05-14,153.23
2024-05-15,152.71
2024-05-16,152.4
2024-05-17,153.89
2024-05-20,152.44
2024-05-21,151.34
2024-05-22,149.07
2024-05-23,148.47
2024-05-24,149.24
2024-05-28,150.46
2024-05-29,148.43
2024-05-30,149.72
2024-05-31,153.54
2024-06-03,148.96
2024-06-04,147.7
2024-06-05,146.61
2024-06-06,147.51
2024-06-07,147.66
2024-06-10,148.28
2024-06-11,148.04
2024-06-12,145.9
2024-06-13,144.59
2024-06-14,144.33
2024-06-17,144.92
2024-06-18,145.05
2024-06-20,148.19
2024-06-21,146.9
2024-06-24,150.71
2024-06-25,149.91
2024-06-26,147.53
2024-06-27,147.88
2024-06-28,147.98
2024-07-01,148.07
2024-07-02,148.29
2024-07-03,148.25
2024-07-05,145.98
2024-07-08,146.0
2024-07-09,144.72
2024-07-10,146.76
2024-07-11,146.88
2024-07-12,147.19
2024-07-15,149.51
2024-07-16,149.25
2024-07-17,152.53
2024-07-18,153.23
2024-07-19,150.56
2024-07-22,148.52
2024-07-23,145.77
2024-07-24,146.7
2024-07-25,149.04
2024-07-26,149.32
2024-07-29,148.15
2024-07-30,150.96
2024-07-31,151.81
2024-08-01,144.38
2024-08-02,140.53
2024-08-05,136.85
2024-08-06,135.5
2024-08-07,134.72
2024-08-08,136.69
2024-08-09,137.16
2024-08-12,137.19
2024-08-13,136.37
2024-08-14,136.86
2024-08-15,138.88
2024-08-16,139.32
2024-08-19,140.46
2024-08-20,138.41
2024-08-21,139.01
2024-08-22,139.41
2024-08-23,141.22
2024-08-26,142.06
2024-08-27,140.57
2024-08-28,139.67
2024-08-29,141.02
2024-08-30,141.53
2024-09-03,138.38
2024-09-04,135.91
2024-09-05,134.82
2024-09-06,132.55
2024-09-09,134.21
2024-09-10,132.23
2024-09-11,131.9
2024-09-12,133.17
2024-09-13,134.51
2024-09-16,135.93
2024-09-17,137.19
2024-09-18,137.71
2024-09-19,138.7
2024-09-20,139.36
2024-09-23,141.14
2024-09-24,141.05
2024-09-25,137.72
2024-09-26,135.83
2024-09-27,139.18
2024-09-30,140.88
2024-10-01,143.2
2024-10-02,144.4
2024-10-03,144.69
2024-10-04,144.2
2024-10-07,144.56
2024-10-08,142.3
2024-10-09,143.16
2024-10-10,144.08
2024-10-11,144.85
2024-10-14,145.19
2024-10-15,141.32
2024-10-16,142.28
2024-10-17,144.64
2024-10-18,144.21
2024-10-21,144.33
2024-10-22,144.37
2024-10-23,143.95
2024-10-24,143.92
2024-10-25,144.27
2024-10-28,144.01
2024-10-29,142.08
2024-10-30,141.63
2024-10-31,142.36
2024-11-01,146.43
2024-11-04,147.29
2024-11-05,146.75
2024-11-06,150.88
2024-11-07,149.97
2024-11-08,150.12
2024-11-11,149.71
2024-11-12,148.55
2024-11-13,151.83
2024-11-14,154.78
2024-11-15,154.42
2024-11-18,155.35
2024-11-19,154.23
2024-11-20,155.9
2024-11-21,156.19
2024-11-22,156.9
2024-11-25,154.97
2024-11-26,157.06
2024-11-27,156.66
2024-11-29,156.48
2024-12-02,156.75
2024-12-03,156.47
2024-12-04,153.0
2024-12-05,153.97
2024-12-06,150.02
2024-12-09,151.8
2024-12-10,151.72
2024-12-11,150.96
2024-12-12,149.51
2024-12-13,148.7
2024-12-16,144.34
2024-12-17,143.13
2024-12-18,139.23
2024-12-19,136.4
